nomor_ruas,nama_ruas_raw,mantap_m,tidak_mantap_m,tahun_survei
297,Jl. Gerilya / (Depan PUSTU Habirau),0.0,240.0,2025
298,Jl. Harapan (SDN Habirau II)/ Sei. Palangan,0.0,210.0,2025
299,Samuda - Bajayau,5700.0,2800.0,2025
300,Jl. Tambangan - Ds. Baruh Jaya,0.0,2230.0,2025
301,Muning Tengah - Batang Alai (Pihanin Raya),0.0,5260.0,2025
302,Muning Tengah - Ds. Muning Dalam,0.0,17110.0,2025
303,SP.4 Banjarbaru - Pasar Negara,560.0,100.0,2025
304,Negara - Tumbukan Banyu,430.0,100.0,2025
305,SP.4. Banjarbaru - Pihanin Raya,1040.0,0.0,2025
306,Bayanan - Pihanin,1000.0,1210.0,2025
307,Jl. Kantor Camat Daha Selatan II,320.0,0.0,2025
308,Jl. Sungai Bugundi,0.0,310.0,2025
309,Jl. Tukang Garit (Tambangan),0.0,480.0,2025
310,Pandak Daun - Baruh Jaya - Samuda,5300.0,2030.0,2025
311,Sei. Mandala Murung Raya,400.0,1700.0,2025
312,Jl. Teluk Haur I,0.0,180.0,2025
313,Jl. Teluk Haur II,0.0,210.0,2025
314,Jl. H.M. Thaib,150.0,200.0,2025
315,Jl. Kenanga - Ds. Baruh Kambang,200.0,110.0,2025
316,Jl. SMAN Negara (KH. Abdullah),340.0,0.0,2025
317,Jl. Pertukangan,320.0,0.0,2025
318,Jl. Silaturrahim,280.0,0.0,2025
319,Jl. Habib Ibrahim - Ds. Sei Mandala,170.0,0.0,2025
320,Jl. Sukaramai - Keramat,730.0,0.0,2025
321,Jl. Pakan Dalam I,320.0,0.0,2025
322,Jl. Pakan Dalam II,290.0,0.0,2025
323,Jl. Pakan Dalam III,280.0,0.0,2025
324,Jl. Paramaian,0.0,300.0,2025
325,Jl. MIN Pandak Daun,100.0,200.0,2025
326,Jl. Pesantren Muradiyah,270.0,0.0,2025
327,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,0.0,1650.0,2025
328,Pakan Dalam - Kaminting Batu,1000.0,820.0,2025
329,Jl. Samping Kantor Camat Daha Utara,150.0,0.0,2025
330,Jl. Gang Bidan (Ds. Tambak Bitin),570.0,0.0,2025
331,Jl. Cangkingan Herman,200.0,120.0,2025
332,Jl. Kampung Kawat,0.0,330.0,2025
333,Jl. Kaminting Batu,0.0,350.0,2025
334,Jl. Hamayung - Hakurung Dalam,100.0,4000.0,2025
335,Simpang Jadi Makmur - Ds. Samuda,660.0,0.0,2025
336,Jl. Sakincung - Ds. Hakurung Dalam,340.0,1000.0,2025
337,Jl. Hakurung Dalam - Ds. Sungai Haji,270.0,300.0,2025
338,Jl. Siang Gantung - Ds. Baru,1930.0,5000.0,2025
339,Jl. Baru - Ds. Bajayau,0.0,2330.0,2025
340,Jl. Bajayau - Ds. Bajayau Tengah,2500.0,5080.0,2025
341,Jl. Banua Hanyar - Ds. Tanjung Selor,0.0,5610.0,2025
342,Jl. Tanjung Selor - Ds. Badaun,0.0,8030.0,2025
343,Jl. Badaun - Ds. Bjayau Lama,0.0,3100.0,2025
344,Jl. Goha - Ds. Amawang Kanan,700.0,0.0,2025
345,Jl. Al - Ikhlas - Ds. Baluti,380.0,0.0,2025
346,Jl. Angkakai - Ds. Amawang Kiri,400.0,0.0,2025
347,Jl. Anjiran Rantauan - Ds. Taniran Tengah,0.0,1210.0,2025
348,Jl. Asam Duhat - Ds. Pantai Ulin,0.0,1110.0,2025
349,Jl. Pertanian - Ds. Wasah Tengah,360.0,0.0,2025
350,Jl. Keramat Sakti - Ds. Tebing Tinggi,600.0,90.0,2025
,TOTAL,392890.0,339570.0,
