;;  ;
No. Mata;Uraian;Satuan; Harga 
Pembayaran;;; Satuan 
;;; (Rupiah) 
A;b;c; e 
;;;
5.4.(2);Lapis Fondasi Tanah Semen;M3; 1.034.293,43 
5.5.(1);Lapis Fondasi Agregat Semen Kelas A (Cement Treated Base = CTB);M3; 880.873,35 
5.5.(2);Lapis Fondasi Agregat Semen Kelas B (Cement Treated Sub-Base = CTSB);M3; 821.363,73 
Skh-1.5.24.(1);Perkerasan Beton Semen fs' 3,5 Mpa;M3; 2.121.513,86 
Skh-1.5.24.(2);Perkerasan Beton Semen fs' 3,8 Mpa;M3; 2.200.916,23 
Skh-1.5.24.(3);Perkerasan Beton Semen fs' 4,5 Mpa;M3; 2.214.899,16 
;;;
;;;
;;;
;;;
;;;
;DIVISI  6.  PERKERASAN  ASPAL;;
6.1 (1);Lapis Resap Pengikat - Aspal Cair/Emulsi;Liter; 39.379,01 
6.1 (2a);Lapis Perekat - Aspal Cair/Emulsi;Liter; 37.551,95 
6.1 (2b);Lapis Perekat - Aspal Emulsi Modifikasi Polimer;Liter; 28.078,63 
6.2 (1);Agregat Penutup BURTU;M2; 29.765,14 
6.2 (2);Agregat Penutup BURDA;M2; 13.837,51 
6.2 (3a);Bahan Aspal Keras untuk Pekerjaan Pelaburan;Liter; 21.100,54 
6.2 (3b);Bahan Aspal Emulsi Modifikasi untuk Pekerjaan Pelaburan;Liter; 22.583,59 
6.2 (4a);Aspal Cair untuk Precoated;Liter; 20.256,89 
6.2 (4b);Aspal Emulsi untuk Precoated;Liter; 21.230,58 
6.2 (4c);Aspal Emulsi Modifikasi Polimer untuk Precoated;Liter; 14.680,80 
6.3 (1a);Stone Matrix Asphalt Halus (SMA Halus);Ton; 2.240.261,18 
6.3 (1b);Stone Matrix Asphalt Modifikasi Halus (SMA Mod Halus);Ton; 1.932.338,29 
6.3 (2a);Stone Matrix Asphalt Kasar (SMA Kasar);Ton; 2.213.626,03 
6.3 (2b);Stone Matrix Asphalt Modifikasi Kasar (SMA Mod Kasar);Ton; 1.894.252,40 
6.3(4a);Lataston Lapis Aus (HRS-WC) ;Ton; 2.381.664,28 
6.3.(4b);Lataston Lapis Fondasi (HRS-Base) ;Ton; 2.298.810,92 
6.3(5a);Laston Lapis Aus (AC-WC);Ton; 2.171.530,28 
6.3(5b);Laston Lapis Aus Modifikasi (AC-WC Mod);Ton; 1.851.260,66 
6.3(6a);Laston Lapis Antara (AC-BC);Ton; 2.097.668,69 
6.3(6b);Laston Lapis Antara Modifikasi (AC-BC Mod);Ton; 1.787.508,02 
6.3(7a);Laston Lapis Fondasi (AC-Base);Ton; 2.032.517,53 
6.3(7b);Laston Lapis Fondasi Modifikasi (AC-Base Mod);Ton; 1.651.465,47 
6.3.(8);Bahan anti pengelupasan;Kg; 83.634,90 
6.4.(1a);Laston Hangat Pen.60-70, WMAC Lapis Aus (WMAC-WC) dengan Zeolit;Ton; 2.188.821,60 
6.4.(1b);Laston Hangat Pen.60-70, WMAC Lapis Aus (WMAC-WC) dengan Wax;Ton; 2.143.021,26 
6.4.(2a);Laston Hangat Pen.60-70, WMAC Lapis Antara (WMAC-BC) dengan Zeolit;Ton; 2.076.788,65 
6.4.(2b);Laston Hangat Pen.60-70, WMAC Lapis Antara (WMAC-BC) dengan Wax;Ton; 2.027.175,91 
6.4.(3a);Laston Hangat Pen.60-70, WMAC Lapis Fondasi (WMAC-Base) dengan Zeolit;Ton; 1.912.232,75 
6.4.(3b);Laston Hangat Pen.60-70, WMAC Lapis Fondasi (WMAC-Base) dengan Wax;Ton; 1.866.762,87 
6.5.(1a);Laston Lapis Aus Asbuton Pracampur (AC-WC Asb Pracampur);Ton; 1.969.640,66 
6.5.(1b);Laston Lapis Aus Asbuton Butir (AC-WC Asb butir);Ton; 2.115.001,93 
6.5.(2a);Laston Lapis Antara Asbuton Pracampur (AC-BC Asb Pracampur);Ton; 2.075.713,22 
6.5.(2b);Laston Lapis Antara Asbuton Butir (AC-BC Asb Butir);Ton; 2.032.830,60 
6.5.(3b);Laston Lapis Fondasi Asbuton Butir (AC-Base Asb Butir);Ton; 1.980.910,19 
6.6.(1);CPHMA Kemasa Kantong;Ton; 1.193.359,35 
6.7.(1);Lapis Penetrasi Macadam;M3; 2.887.760,99 
6.7.(2);Lapis Penetrasi Macadam Asbuton;M3; 2.606.658,36 
SKh-1.6.25.(1);Campuran Beraspal Panas (Laston) Lapis Aus (AC-WCNR);Ton; 1.942.139,51 
SKh-1.6.29.(1g);Laston Lapis Aus (AC-WC) Asbuton Murni;Ton; 1.972.707,34 
SKh-1.6.29.(1i);Laston Lapis Antara (AC-BC) Asbuton Murni;Ton; 1.916.420,53 
SKh-1.6.29.(1k);Laston Lapis Fondasi (AC-Base) Asbuton Murni;Ton; 1.841.117,69 
;;;
;;;
;;;
;;;
;;;
;DIVISI  7.  STRUKTUR;;
7.1 (1);Beton struktur, fc’50 MPa;M3; 3.081.533,19 
7.1 (2);Beton struktur, fc’45 MPa;M3; 3.026.404,10 
7.1 (3) ;Beton struktur, fc’40 MPa ;M3; 23.619.232,20 
7.1 (4);Beton struktur, fc’35 MPa;M3; 2.898.360,55 
