dd2_row_index,dd2_road_name_raw,dd2_normalized_key,canonical_road_name,canonical_road_key,match_method,confidence_or_reason,notes
116,Sungai Raya Utara - Teluk Pinang ,sei raya utara - teluk pinang,Sungai Raya Utara - Teluk Pinang ,sei raya utara - teluk pinang,direct,,
119,Jl. Mangunang - Ds. Sungai Raya Utara,mangunang - desa sei raya utara,Mangunang - Ds. Sungai Raya Utara,mangunang - desa sei raya utara,direct,,
120,Hamalau - Asam Cangkok,hamalau - asam cangkok,Hamalau - Asam Cangkok,hamalau - asam cangkok,direct,,
121,Hariti - Sungai Raya Selatan,hariti - sei raya selatan,Hariti - Sungai Raya Selatan,hariti - sei raya selatan,direct,,
122,Mangaris - Limau Manis,mangaris - limau manis,Mangaris - Limau Manis,mangaris - limau manis,direct,,
123,Jl. Munggu Raya - Ds. Hariti,munggu raya - desa hariti,Munggu Raya - Ds. Hariti,munggu raya - desa hariti,direct,,
124,Paharuangan - Asam Dua,paharuangan - asam dua,Paharuangan - Asam Dua,paharuangan - asam dua,direct,,
125,Asam Seranggan - Asam Tamiyang,asam seranggan - asam tamiyang,Asam Seranggan - Asam Tamiyang,asam seranggan - asam tamiyang,direct,,
126,Jl. Papancan - Ds. Tanah Bangkang,papancan - desa tanah bangkang,Papancan - Ds. Tanah Bangkang,papancan - desa tanah bangkang,direct,,
127,Jl. Baru - Asam Desa Baru,baru - asam desa baru,Baru - Asam Desa Baru,baru - asam desa baru,direct,,
128,Jl. Sungai Namang - Ds. Tanah Bangkang,sei namang - desa tanah bangkang,Sungai Namang - Ds. Tanah Bangkang,sei namang - desa tanah bangkang,direct,,
129,Jarau - Parandakan,jarau - parandakan,Jarau - Parandakan,jarau - parandakan,direct,,
130,Mungkur Galah - Lokpaikat,mungkur galah - lokpaikat,Mungkur Galah - Lokpaikat,mungkur galah - lokpaikat,direct,,
131,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),batang kulur kanan - bumi berkat kisung,Batang Kulur Kanan - Bumi Berkat (Kisung),batang kulur kanan - bumi berkat kisung,direct,,
132,Batang Kulur Kanan - Batang Kulur Kiri,batang kulur kanan - batang kulur kiri,Batang Kulur Kanan - Batang Kulur Kiri,batang kulur kanan - batang kulur kiri,direct,,
133,Jl. Manggis - Ds. Baru,manggis - desa baru,Manggis - Ds. Baru,manggis - desa baru,direct,,
134,Jl. TPA - Ds. Sungai Raya Selatan,tpa - desa sei raya selatan,TPA - Ds. Sungai Raya Selatan,tpa - desa sei raya selatan,direct,,
135,Jl. Pembangunan - Ds. Sungai Raya Utara,pembangunan - desa sei raya utara,Pembangunan - Ds. Sungai Raya Utara,pembangunan - desa sei raya utara,direct,,
136,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,kalaka dayuh - desa sei raya utara,Kalaka Dayuh - Ds. Sungai Raya Utara,kalaka dayuh - desa sei raya utara,direct,,
137,Teluk Pinang - Padang Rasau,teluk pinang - padang rasau,Teluk Pinang - Padang Rasau,teluk pinang - padang rasau,direct,,
138,Tanayung - Simp. Ambarai,tanayung - simp ambarai,Tanayung - Simp. Ambarai,tanayung - simp ambarai,direct,,
139,Tabihi - Telaga Langsat,tabihi - telaga langsat,Tabihi - Telaga Langsat,tabihi - telaga langsat,direct,,
140,Karang Jawa -Ambarai - Sungai Bungur,karang jawa - ambarai - sei bungur,Karang Jawa -Ambarai - Sungai Bungur,karang jawa - ambarai - sei bungur,direct,,
141,Ambarai - Madang,ambarai - madang,Ambarai - Madang,ambarai - madang,direct,,
142,Padang Batung - Batulaki - Malilingin,padang batung - batulaki - malilingin,Padang Batung - Batulaki - Malilingin,padang batung - batulaki - malilingin,direct,,
