nomor_ruas,nama_ruas_summary,nama_ruas_aggregate,mantap_summary_m,mantap_aggregate_m,tidak_mantap_summary_m,tidak_mantap_aggregate_m,status
214,Amparaya - Karangan - Hanau,Amparaya - Karangan - Hanau,4160.0,4160.0,200.0,200.0,ok
215,Jl. Kalimput Desa Wasah Hilir,Jl. Kalimput Desa Wasah Hilir,400.0,400.0,500.0,500.0,ok
216,Jl. Sungai Kacil I - Kapuh Padang,Jl. Sungai Kacil I - Kapuh Padang,1320.0,1320.0,0.0,0,ok
217,Jl. Sungai Kacil II,Jl. Sungai Kacil II,390.0,390.0,0.0,0,ok
218,Jl. Papagaran - Ds. Amawang Kanan,Jl. Papagaran - Ds. Amawang Kanan,540.0,540.0,0.0,0,ok
219,Balaimas - Hanau,Balaimas - Hanau,2330.0,2330.0,0.0,0,ok
220,Garunggang - Hantamangu,Garunggang - Hantamangu,800.0,800.0,360.0,360.0,ok
221,Jl. KH. Ramli - DS. Amparaya,Jl. KH. Ramli - DS. Amparaya,340.0,340.0,0.0,0,ok
222,Jl. Tungkaran - Ds. Ulin,Jl. Tungkaran - Ds. Ulin,640.0,640.0,600.0,600.0,ok
223,Jl. Mondar (Ulin-Pantai Ulin) - Ds. Ulin,Jl. Mondar (Ulin-Pantai Ulin) - Ds. Ulin,1860.0,1860.0,0.0,0,ok
224,Jl. Pendawa - Ds. Tebing Tinggi,Jl. Pendawa - Ds. Tebing Tinggi,700.0,700.0,120.0,120.0,ok
225,Jl. Mangamol - Ds. Pantai Ulin,Jl. Mangamol - Ds. Pantai Ulin,690.0,690.0,0.0,0,ok
226,Jl. Guru H. Izim - Ds. Pantai Ulin,Jl. Guru H. Izim - Ds. Pantai Ulin,0.0,0,620.0,620.0,ok
227,Jl. Rawati - Ds. Panjampang Bahagia,Jl. Rawati - Ds. Panjampang Bahagia,1210.0,1210.0,0.0,0,ok
228,Jl. Pianggu,Jl. Pianggu,820.0,820.0,0.0,0,ok
229,Jl. Buluh - Ds. Tebing Tinggi,Jl. Buluh - Ds. Tebing Tinggi,600.0,600.0,680.0,680.0,ok
230,Jl. H. Saim Garunggang - Kalimput,Jl. H. Saim Garunggang - Kalimput,710.0,710.0,0.0,0,ok
231,Jl. Padang Haur - Ds. Wasah Tengah,Jl. Padang Haur - Ds. Wasah Tengah,230.0,230.0,1000.0,1000.0,ok
232,Jl. Gerilya - Ds. Simpur,Jl. Gerilya - Ds. Simpur,520.0,520.0,0.0,0,ok
233,Jl. Jangkang - Ds. Wasah Hilir,Jl. Jangkang - Ds. Wasah Hilir,340.0,340.0,0.0,0,ok
234,Jl. Air Miris - Ds. Wasah Hilir,Jl. Air Miris - Ds. Wasah Hilir,1060.0,1060.0,0.0,0,ok
235,Jl. Tandik - Ds. Wasah Hilir,Jl. Tandik - Ds. Wasah Hilir,500.0,500.0,0.0,0,ok
236,Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Talim),Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Talim),600.0,600.0,0.0,0,ok
237,Jl. Karampaci - Ds. Kapuh,Jl. Karampaci - Ds. Kapuh,520.0,520.0,0.0,0,ok
