no_ruas_digit_1,no_ruas_digit_2,no_ruas_digit_3,nama_ruas_raw,kecamatan_dilalui,panjang_ruas_km,lebar_ruas_m,perkerasan_hotmix_km,perkerasan_lapen_makadam_km,perkerasan_beton_km,perkerasan_telford_kerikil_km,perkerasan_tanah_belum_tembus_km,kondisi_baik_km,kondisi_baik_pct_decimal,kondisi_sedang_km,kondisi_sedang_pct_decimal,kondisi_rusak_ringan_km,kondisi_rusak_ringan_pct_decimal,kondisi_rusak_berat_km,kondisi_rusak_berat_pct_decimal,lhr,akses_npk,keterangan_tahun,extra_24,no_ruas
0,7,9,Telaga Banta - Patigan,Kandangan,0.64,3,0.6399999856948853,0,0,0,0,0.6399999856948853,0.9999999776482582,0,0,0,0,0,0,0,0,2025,,079
0,8,0,Jl. Nomura ,Kandangan,0.41,3,0.4099999964237213,0,0,0,0,0,0,0.4099999964237213,0.9999999912773692,0,0,0,0,0,0,2025,,080
0,8,1,Jl. Lorong Bupati,Kandangan,0.39,3,0.38999998569488525,0,0,0,0,0.10000000149011612,0.25641026023106694,0.28999999165534973,0.7435897221932044,0,0,0,0,0,0,2025,,081
0,8,2,Jl. Biti - Sungai Kupang (Karya Bakti TNI) ,Kandangan,1.82,3,1.8200000524520874,0,0,0,0,0.5,0.2747252747252747,0.30000001192092896,0.1648351713851258,0.6200000047683716,0.340659343279325,0.4000000059604645,0.21978022305520026,0,0,2025,,082
0,8,3,Jl. Palajau - Ds. Baluti,Kandangan,1.28,3,0,0,0.8799999952316284,0.4000000059604645,0,0.4000000059604645,0.3125000046566129,0,0,0,0,0.8799999952316284,0.6874999962747097,0,0,2025,,083
0,8,4,Jl. RS. Hasan Basry II,Sungai Raya ,0.1,10,0.10000000149011612,0,0,0,0,0,0,0.10000000149011612,1.0000000149011612,0,0,0,0,0,0,2025,,084
0,8,5,Tajun - Sp.3 Muara Paring Agung,Sungai Raya ,4.97,3.5,4.96999979019165,0,0,0,0,4.46999979019165,0.8993963360546581,0.5,0.1006036217303823,0,0,0,0,0,0,2025,,085
0,8,6,Hamalau - Anjiran,Sungai Raya ,0.9,3,0.8999999761581421,0,0,0,0,0,0,0.800000011920929,0.8888889021343654,0.10000000149011612,0.11111111276679568,0,0,0,0,2025,,086
0,8,7,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,Sungai Raya ,7.3,3,7.300000190734863,0,0,0,0,0,0,7,0.9589041095890412,0.30000001192092896,0.04109589204396287,0,0,0,0,2025,,087
0,8,8,Sungai Raya Selatan - Sarang Halang,Sungai Raya ,2.62,3,2.619999885559082,0,0,0,0,0,0,0.3199999928474426,0.12213740185016894,0.699999988079071,0.26717556796911107,1.600000023841858,0.6106870320007091,0,0,2025,,088
0,8,9,Sp. Batang Kulur Kiri - Tatas,Sungai Raya ,2.37,3,2.369999885559082,0,0,0,0,0,0,0.5699999928474426,0.24050632609596734,1.7999999523162842,0.7594936507663645,0,0,0,0,2025,,089
0,9,0,Taal Batang Kulur - Sp. 3 Muara Prg Agung,Sungai Raya ,4.12,3.5,4.119999885559082,0,0,0,0,0.20000000298023224,0.04854369004374569,2.0999999046325684,0.5097087147166428,1.0199999809265137,0.2475728109044936,0.800000011920929,0.19417476017498275,0,0,2025,,090
0,9,1,Batang Kulur Kanan - Sarangan,Sungai Raya ,2.18,3,2.180000066757202,0,0,0,0,0,0,1.6799999475479126,0.7706421777742718,0.5,0.2293577981651376,0,0,0,0,2025,,091
0,9,2,Bumi Berkat - Mungkur Galah,Sungai Raya ,1.51,3,1.5099999904632568,0,0,0,0,0,0,1.2000000476837158,0.7947020183335867,0.3100000023841858,0.2052980148239641,0,0,0,0,2025,,092
0,9,3,Taal Jarau - Sp. Baru/Tampang,Sungai Raya ,5.65,3,5.650000095367432,0,0,0,0,2.8499999046325684,0.5044247618818705,2.799999952316284,0.4955752127993423,0,0,0,0,0,0,2025,,093
0,9,4,Sungai Raya - Jambu Hulu/Paku,Sungai Raya - Padang Batung,5.17,5,5.170000076293945,0,0,0,0,5.170000076293945,1.0000000147570494,0,0,0,0,0,0,0,0,2025,,094
0,9,5,Sungai Raya Selatan - Malutu - Goa Berangin,Sungai Raya - Padang Batung,6.35,3.619999885559082,6.099999904632568,0,0,0.25,0,0.6000000238418579,0.09448819273100124,3.299999952316284,0.5196850318608321,0.4000000059604645,0.0629921269229078,2.049999952316284,0.32283463816004476,0,0,2025,,095
0,9,6,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,Sungai Raya - Simpur,3.77,3,3.7699999809265137,0,0,0,0,0,0,2.569999933242798,0.6816975950246148,1.100000023841858,0.2917771946530127,0.10000000149011612,0.02652519933424831,0,0,2025,,096
0,9,7,Asam Cangkuk - Telaga Bidadari,Sungai Raya ,0.83,2,0.6000000238418579,0,0.23000000417232513,0,0,0.20000000298023224,0.240963859012328,0.029999999329447746,0.03614457750535873,0,0,0.6000000238418579,0.7228915949901903,0,0,2025,,097
0,9,8,Hamalau - Pahampangan,Sungai Raya ,0.78,3.5,0.7799999713897705,0,0,0,0,0.7799999713897705,0.9999999633202186,0,0,0,0,0,0,0,0,2025,,098
0,9,9,Ida Manggala - Padang Makmur,Sungai Raya ,3.69,3.5,2.700000047683716,0,0,0.9900000095367432,0,0,0,0.8999999761581421,0.24390243256318214,1.5,0.4065040650406504,1.2900000214576721,0.34959350175004666,0,0,2025,,099
1,0,0,Simpang Hamalau - Teluk Pinang,Sungai Raya ,0.68,3.5,0.6800000071525574,0,0,0,0,0.07999999821186066,0.11764705619391272,0.4000000059604645,0.5882353028830359,0.10000000149011612,0.14705882572075898,0.10000000149011612,0.14705882572075898,0,0,2025,,100
1,0,1,Teluk Pinang - Pahampangan Utara,Sungai Raya ,2.22,3.5,2.2200000286102295,0,0,0,0,1.600000023841858,0.7207207314602962,0.6200000047683716,0.2792792814271944,0,0,0,0,0,0,2025,,101
1,0,2,Hamalau - Telaga Bidadari - Wasah Hilir,Sungai Raya ,4.94,5,4.940000057220459,0,0,0,0,0.14000000059604645,0.02834008109231709,1.899999976158142,0.38461537978909754,2.5999999046325684,0.526315770168536,0.30000001192092896,0.060728747352414764,0,0,2025,,102
1,0,3,Karasikan - Sarang Halang,Sungai Raya ,1.9,3,1.899999976158142,0,0,0,0,0,0,0.8999999761581421,0.47368419797796957,0.30000001192092896,0.1578947431162784,0.699999988079071,0.36842104635740586,0,0,2025,,103
1,0,4,Tanjungan - Sp. 3 Sakijang,Sungai Raya ,1.59,3,1.590000033378601,0,0,0,0,0,0,0.10000000149011612,0.06289308269818623,0.5,0.31446540880503143,0.9900000095367432,0.6226415154319139,0,0,2025,,104
1,0,5,Sarang Halang Padang - Sp. Batang Kulur,Sungai Raya ,2.11,3,2.109999895095825,0,0,0,0,0.5,0.23696682464454977,1.1100000143051147,0.5260663574905757,0.20000000298023224,0.09478673127025225,0.30000001192092896,0.14218010043645923,0,0,2025,,105
1,0,6,Hamalau - Ganda,Sungai Raya - Kandangan,1.17,3.5,1.1699999570846558,0,0,0,0,0,0,0.5,0.4273504273504274,0.6700000166893005,0.5726495869139321,0,0,0,0,2025,,106
1,0,7,Tamiyang - Ds. Tamiyang (Eks TMMD),Sungai Raya ,2.04,3,0,0,0,2.0399999618530273,0,0,0,0,0,0,0,2.0399999618530273,0.9999999813005036,0,0,2025,,107
1,0,8,Tanah Bangkang Menuju Balai Benih Ikan,Sungai Raya ,0.66,3,0.6600000262260437,0,0,0,0,0,0,0.20000000298023224,0.3030303075458064,0.10000000149011612,0.1515151537729032,0.36000001430511475,0.5454545671289617,0,0,2025,,108
1,0,9,Karang Intan - Tanah Bangkang,Sungai Raya ,1.11,3,1.1100000143051147,0,0,0,0,0,0,1.1100000143051147,1.0000000128874906,0,0,0,0,0,0,2025,,109
1,1,0,Jl. Haritas (PT. Pertani),Sungai Raya ,0.64,3,0.6399999856948853,0,0,0,0,0.20000000298023224,0.3125000046566129,0.4399999976158142,0.6874999962747097,0,0,0,0,0,0,2025,,110
1,1,1,Paharuangan - Sei. Raya Selatan,Sungai Raya ,1.96,3.5,1.9600000381469727,0,0,0,0,0.6000000238418579,0.30612246114380504,0.800000011920929,0.40816327138822905,0.46000000834465027,0.23469388180849504,0.10000000149011612,0.05102040892352863,0,0,2025,,111
1,1,2,Jl. Bangga TMMD,Sungai Raya ,0.79,3.5,0.7900000214576721,0,0,0,0,0,0,0,0,0.7900000214576721,1.0000000271616103,0,0,0,0,2025,,112
1,1,3,Batang Kulur Kiri - Durian Landung,Sungai Raya ,0.55,3.5,0.550000011920929,0,0,0,0,0.44999998807907104,0.8181817965074019,0.10000000149011612,0.18181818452748383,0,0,0,0,0,0,2025,,113
1,1,4,Jl. Taminung,Sungai Raya ,2.02,3.5,2,0,0,0.019999999552965164,0,0,0,2,0.9900990099009901,0,0,0.019999999552965164,0.009900989877705527,0,0,2025,,114
1,1,5,Matang Gadung - Halalang,Sungai Raya ,0.42,3,0.41999998688697815,0,0,0,0,0.41999998688697815,0.9999999687785195,0,0,0,0,0,0,0,0,2025,,115
1,1,6,"Sungai Raya Utara - Teluk Pinang 
				_x000D_
",Sungai Raya ,1.7,3,1.7000000476837158,0,0,0,0,0,0,1.5,0.8823529411764706,0.20000000298023224,0.1176470605766072,0,0,0,0,2025,,116
